pagina,moneda,precio,expensas,direccion,dorm,mts,extras,tipo,url,descripcion
INMOBUSQUEDAS,$,220000,9000,"3 n°567 e/ 43 y 44 terminal de omnibus, la plata (casco urbano), pdo. de la plata",1,38,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-492987,"departmento compuesto de: cocina comedor, con mesada, anefe, dormitorio amplio, baño con inodoro, bidet, lavatorio y ducha, bajas expensas. comparte los se..."
INMOBUSQUEDAS,$,220000,55000,"plaza italia n 37 piso 10 dto b la plata (casco urbano), pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-490744,"monoambiente en alquiler, frente a plaza italia. cocina separada, lavadero y baño. argentina | g.b.a. zona sur | la plata | la plata"
INMOBUSQUEDAS,$,220000,0,"149 y 34 san carlos, pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-486843,"amplio monoambiente luminoso,baño, ubicado en planta baja al frente, no abona expensas!"
INMOBUSQUEDAS,$,220000,0,"12 y 77 villa elvira, pdo. de la plata",1,30,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-482446,"departamento al frente en 12 y 77 sin expensas cocina con comedor integrado dormitorio, con espacio para pequeño vestidor baño luminoso con..."
INMOBUSQUEDAS,$,230000,0,"600 y 115 bis a estrenar villa elvira, pdo. de la plata",-,40,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-495492,"departamento en alquiler ubicado en calle 600 esq. 115 bis. la propiedad cuenta con un espacioso living-comedor. además, posee 1 dormitorio y balcón a ..."
INMOBUSQUEDAS,$,230000,50000,"57 n°407 e/ 3 y 4 la plata (casco urbano), pdo. de la plata",-,28,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-490881,monoambiente con cocina incorporada baño chico con ducha.
INMOBUSQUEDAS,$,230000,0,"181 bis n°1424 e/ 517 y 518 melchor romero, pdo. de la plata",1,35,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-494357,"departamento pequeño de un dormitorio sobre asfalto a dos cuadras de la avenida 520. cocina comedor con aire acondicionado, baño y patio con lugar para con..."
INMOBUSQUEDAS,$,230000,90000,"5 nro. 623 entre 44 y 45 (9° b) la plata (casco urbano), pdo. de la plata",-,27,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-369507,"monoambiente noveno piso al frente. cuenta con amplio estar, cocina sectorizada, baño completo y balcón francés. superficie total 27 m..."
INMOBUSQUEDAS,$,230000,0,"4 n°1126 e/ 55 y 56 parque san martín, la plata (casco urbano), pdo. de la plata",-,35,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-486297,"se alquila departamento monoambiente con gran mueble/ropero divisorio, generando espacio para dormitorio. cocina con bajo mesada con cajonera y alacena. ..."
INMOBUSQUEDAS,$,230000,40000,"58 e/ 7 y 8 la plata (casco urbano), pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-72219,"departamento mono ambiente con placard, cocina amoblada con barra desayunador y baño completo. apto estudiantes. las expensas incluyen servicio de agua."
INMOBUSQUEDAS,$,240000,33000,"41 n°320 e/ 1 y 2 estación de trenes, la plata (casco urbano), pdo. de la plata",-,50,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-491721,1 dorm
INMOBUSQUEDAS,$,240000,0,"6 n°1919 e/ 71 y 72 la plata (casco urbano), pdo. de la plata",-,40,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-463600,"exelente monoambiente con patio, cocina separada, baño completo, placard.exelente estado.no paga expensas. no se admiten mascotas. disponile en mayo24"
INMOBUSQUEDAS,$,240000,20000,"3 n°1434 e/ 61 y 62 la plata (casco urbano), pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-307735,"monoambiente con cocina equipada separada, aire acondicionado. zona facultades. contrato por 24 meses, actualización cuatrimestral por ipc."
INMOBUSQUEDAS,$,250000,0,"1 n°1534 e/ 63 y 64 la plata (casco urbano), pdo. de la plata",1,30,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-496021,"departamento planta baja por pasillo de 1 dormitorio con placard, cocina comedor, baño y patio, con artefacto de cocina y calefón"
INMOBUSQUEDAS,$,250000,22000,"38 y 136 san carlos, pdo. de la plata",1,40,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-496815,"en 1°piso por esclera, depto de un dormitorio, cocina comedor y baño completo."
INMOBUSQUEDAS,$,250000,50000,"57 n° 407 3 a e/ 3 y 4 la plata (casco urbano), pdo. de la plata",-,40,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-464535,"disponible monoambiente, con cocina semi-integrada y muebles bajo mesada. las expensas incluyen absa. consulte.- nota: la información gráfi..."
INMOBUSQUEDAS,$,250000,30000,"44 e/ 23 y 24 plaza 19 de noviembre, la plata (casco urbano), pdo. de la plata",-,32,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-496083,monoamb
INMOBUSQUEDAS,$,250000,40000,"55 e/ 6 y 7 plaza san martín, la plata (casco urbano), pdo. de la plata",-,28,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-482929,1 dorm
INMOBUSQUEDAS,$,250000,8000,"12 e/ 71 y 72 parque saavedra, la plata (casco urbano), pdo. de la plata",1,45,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-495500,"(12 e 71 y 72) departamento de un dormitorio con placard. living comedor con cocina integrada. lavadero descubierto. baño completo. 1° piso por escalera, c..."
INMOBUSQUEDAS,$,250000,0,"77 e/ 118 y 119 villa elvira, pdo. de la plata",1,43,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-496966,"departamento pb interno (entrada por cochera que corresponde a otra propiedad) cuenta con 1 dormitorio, cocina comedor, baño, patio y lavadero"
INMOBUSQUEDAS,$,250000,0,"60 n°327 e/ 1 y 2 zona universidades bosque, la plata (casco urbano), pdo. de la plata",1,45,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-378423,"alquilo departamento al frente 2º piso por escalera. cocina con bajo mesada y alacena, calefón, cocina. un dormitorio con tiro balanceado y placard. est..."
INMOBUSQUEDAS,$,250000,10000,"80 n°146 e/ 121 y 122 villa elvira, pdo. de la plata",2,70,['garage si'],departamento,https://www.inmobusqueda.com.ar/ficha-465575,"departamento nuevo de 2 dormir c/placar, cocina comedor y living amplio, baño, patio, balcón, terraza c/parrilla. posibilidad de cochera"
INMOBUSQUEDAS,$,250000,55000,"53 e/ 4 y 5 zona universidades centro, la plata (casco urbano), pdo. de la plata",-,55,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-486498,"monoambiente, calle 53 e/4 y 5 -ubicacion excelelnte -luminososo -cocina separada con pasaplatos -baño completo"
INMOBUSQUEDAS,,consulte,0,"1 n°73 e/ 33 y 34 la plata (casco urbano), pdo. de la plata",-,35,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-492425,"2º piso por escalera, monoambiente, con cocina integrada alacena y bajo mesada, baño completo con ducha. exp $45.000"
