pagina,moneda,precio,expensas,direccion,dorm,mts,extras,tipo,url,descripcion
INMOBUSQUEDAS,$,200000,0,"4 e/ 68 y 69 plaza españa, la plata (casco urbano), pdo. de la plata",1,40,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-492319,"departamento en ph de un dormitorio con cocina comedor, baño completo y patio. apto estudiantes."
INMOBUSQUEDAS,$,200000,17000,"57 n° 378 piso 2 depto 2 e/ 2 y 3 la plata (casco urbano), pdo. de la plata",1,40,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-348058,departamento en buen estado. ambientes amplios y luminosos. alberto dacal propiedades: código de la propiedad 4572 argentina | g.b.a. zona sur | la...
INMOBUSQUEDAS,$,200000,0,"66 al 100 lisandro olmos , pdo. de la plata",-,00,"['monoamb', '26.00 mts', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-490187,"alquiler de departamento monoambiente, la plata monoambiente en alquiler. ubicado en 66 e/ 116 y 117 desarrollado en un ph..."
INMOBUSQUEDAS,$,200000,0,"119 n° 35 e/ 32 y 33 pb depto a la plata (casco urbano), pdo. de la plata",-,35,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-492377,"monoambiente en pb con cocina comedor separada y patio, ubicado al frente. muy buen estado. sin expensas alberto dacal propiedades: c&o..."
INMOBUSQUEDAS,$,200000,25000,"8 e/ 57 y 58 la plata (casco urbano), pdo. de la plata",1,33,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-481342,"departamento en alquiler en la plata, casco urbano. estado bueno, ideal estudiantes."
INMOBUSQUEDAS,$,200000,0,"70 n°75 e/ 120 y 121 la plata (casco urbano), pdo. de la plata",-,20,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-90732,monoambiente en planta baja al frente en excelente zona. gas envasado. sin expensas.
INMOBUSQUEDAS,$,200000,0,"27 n°2882 e/ 78 y 79 cementerio, altos de san lorenzo, pdo. de la plata",1,45,['garage si'],departamento,https://www.inmobusqueda.com.ar/ficha-476297,"departamento al frente tipo casa independiente, de un dormitorio, cocina, comedor, baño y patio y entrada de auto en perfecto estado.no paga expensas"
INMOBUSQUEDAS,$,200000,20000,"3 n°1289 e/ 58 y 59 zona universidades bosque, la plata (casco urbano), pdo. de la plata",-,30,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-489584,"monoambiente con cocina separada, baño instalado, antiguo.bajas expensas.zona universitaria. precio: $ 200.000 con ajuste trimestral por i.p...."
INMOBUSQUEDAS,$,200000,26000,"58 n°1109 e/ 17 y 18 la plata (casco urbano), pdo. de la plata",-,28,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-489905,"monica bianchini bienes raices alquila monoambiente al frente y con balcon, a cuatro cuadras de plaza moreno. cocina, baño, mueble bajo mesada y mueble de ..."
INMOBUSQUEDAS,$,200000,0,"plaza matheu n°117 y diagonal 73 plaza mateu, la plata (casco urbano), pdo. de la plata",1,40,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-298641,ph en plaza matheu sin expensas primer piso por escalera ideal estudiantes! 1 dormitorio cocina integrada al comedor baño espacio de zona verd...
INMOBUSQUEDAS,$,210000,0,"1 e/ 46 y 47 la plata (casco urbano), pdo. de la plata",-,38,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-484739,"alquilamos: 1 e/ 46 y 47:departamento monoambiente con gran vista. cocina separada con muebles, baño. mas info y consultas a nuestro wsap. 474"
INMOBUSQUEDAS,$,210000,0,"77 nro. 1636 entre 27 bis y 28 (pb°a) altos de san lorenzo, pdo. de la plata",1,38,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-490061,"departamento de 1 dormitorio en planta baja. cuenta con cocina comedor, dormitorio y baño. cuenta con patio compartido. sin expensas. contrato por 2..."
INMOBUSQUEDAS,$,210000,0,"63 y 125 la plata (casco urbano), pdo. de la plata",-,20,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-143160,"ideal estudiantes!! monoambiente modesto. patio común, sin expensas! gas incluído en el valor del alquiler. oportunidad!"
INMOBUSQUEDAS,$,215000,0,"119 y 63 la plata (casco urbano), pdo. de la plata",-,20,['monoamb'],departamento,https://www.inmobusqueda.com.ar/ficha-490144,"monoambiente ideal estudiantes, zona facultades de medicina, veterinaria, agronomía, periodismo."
INMOBUSQUEDAS,$,220000,23200,"45 n°561 e/ 6 y 7 plaza italia, la plata (casco urbano), pdo. de la plata",-,21,"['monoamb', 'garage no']",departamento,https://www.inmobusqueda.com.ar/ficha-492680,"45 nº 561 piso 8 dto 5 e/ 6 y 7: monoambiente al frente, kitchinette, ropero en ambiente 6 x 3, baño, 21 m2. valor inicial $ 220.000 + expensas $ 23.200 + ..."
INMOBUSQUEDAS,$,220000,0,"70 y 29 la plata (casco urbano), pdo. de la plata",1,40,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-492728,depto de 1 dorm pa en alquiler ubicado en 70 y 29 40 mts2 aprox. 1 er piso por escalera cocina-comedor amplio...
INMOBUSQUEDAS,$,220000,9000,"3 n°567 e/ 43 y 44 terminal de omnibus, la plata (casco urbano), pdo. de la plata",1,38,['garage no'],departamento,https://www.inmobusqueda.com.ar/ficha-492987,"departmento compuesto de: cocina comedor, con mesada, anefe, dormitorio amplio, baño con inodoro, bidet, lavatorio y ducha, bajas expensas. comparte los se..."
INMOBUSQUEDAS,$,220000,18000,"144 n° 1371 depto 1d e/ 60 y 61 los hornos, pdo. de la plata",1,60,['garage si'],departamento,https://www.inmobusqueda.com.ar/ficha-343107,departamento al contrafrente. muy luminoso. cochera alberto dacal propiedades: código de la propiedad argentina | g.b.a. zona sur |...
INMOBUSQUEDAS,$,220000,15000,"132 e/ 43 y 44 san carlos, pdo. de la plata",-,24,['monoamb'],departamento,https://www.inmobusqueda.com.ar/ficha-462466,"consultorio para varios destinos, interno con vista al frente, sin artefacto de cocina, baño completo, pisos de parquet. apto profesional ."
